Year,Month,Day,Hour,Minute,DHI (W/m2),DNI (W/m2),GHI (W/m2),Temperature (C )
2023,1,1,0,0,0,0,0,20.6
2023,1,1,0,15,0,0,0,20.4
2023,1,1,0,30,0,0,0,20.3
2023,1,1,0,45,0,0,0,20.1
2023,1,1,1,0,0,0,0,19.9
2023,1,1,1,15,0,0,0,19.7
2023,1,1,1,30,0,0,0,19.5
2023,1,1,1,45,0,0,0,19.3
2023,1,1,2,0,0,0,0,19.1
2023,1,1,2,15,0,0,0,19
2023,1,1,2,30,0,0,0,18.8
2023,1,1,2,45,0,0,0,18.7
2023,1,1,3,0,0,0,0,18.5
2023,1,1,3,15,0,0,0,18.4
2023,1,1,3,30,0,0,0,18.2
2023,1,1,3,45,0,0,0,18.1
2023,1,1,4,0,0,0,0,17.9
2023,1,1,4,15,0,0,0,17.8
2023,1,1,4,30,0,0,0,17.7
2023,1,1,4,45,0,0,0,17.6
2023,1,1,5,0,0,0,0,17.4
2023,1,1,5,15,0,0,0,17.4
2023,1,1,5,30,0,0,0,17.3
2023,1,1,5,45,0,0,0,17.3
2023,1,1,6,0,0,0,0,17.3
2023,1,1,6,15,0,0,0,17.7
2023,1,1,6,30,4,0,4,18.1
2023,1,1,6,45,28,13,30,18.5
2023,1,1,7,0,62,56,70,18.9
2023,1,1,7,15,94,118,118,19.7
2023,1,1,7,30,123,183,170,20.6
2023,1,1,7,45,150,229,222,21.4
2023,1,1,8,0,172,285,277,22.3
2023,1,1,8,15,191,335,332,23.4
2023,1,1,8,30,208,379,386,24.6
2023,1,1,8,45,231,394,434,25.7
2023,1,1,9,0,244,428,484,26.9
2023,1,1,9,15,257,459,533,27.8
2023,1,1,9,30,267,485,578,28.7
2023,1,1,9,45,291,477,614,29.6
2023,1,1,10,0,300,497,652,30.5
2023,1,1,10,15,303,515,683,31.1
2023,1,1,10,30,309,529,714,31.6
2023,1,1,10,45,336,502,731,32.2
2023,1,1,11,0,341,512,754,32.8
2023,1,1,11,15,345,520,772,33.2
2023,1,1,11,30,348,526,786,33.6
2023,1,1,11,45,285,642,824,34
2023,1,1,12,0,286,644,829,34.4
2023,1,1,12,15,286,644,828,34.5
2023,1,1,12,30,282,642,820,34.7
2023,1,1,12,45,306,592,798,34.8
2023,1,1,13,0,303,586,784,35
2023,1,1,13,15,300,578,765,34.9
2023,1,1,13,30,292,568,738,34.9
2023,1,1,13,45,301,527,702,34.9
2023,1,1,14,0,294,512,671,34.8
2023,1,1,14,15,287,495,635,34.7
2023,1,1,14,30,278,475,597,34.5
2023,1,1,14,45,259,472,559,34.3
2023,1,1,15,0,248,446,514,34.2
2023,1,1,15,15,235,416,466,33.7
2023,1,1,15,30,221,382,416,33.3
2023,1,1,15,45,207,334,362,32.8
2023,1,1,16,0,188,292,308,32.4
2023,1,1,16,15,166,245,255,31.3
2023,1,1,16,30,145,194,204,30.2
2023,1,1,16,45,117,132,150,29.2
2023,1,1,17,0,84,79,100,28.1
2023,1,1,17,15,50,34,55,27.5
